date,ADELE,ADELĪNA,ADRIANA,ADRIĀNA,ADRIJA,AELITA,AGAFIJA,AGATE,AGITA,AGNESE,AGRITA,AIGA,AIJA,AINA,AIVA,ALDA,ALEKSA,ALEKSANDRA,ALINA,ALISA,ALISE,ALĪDA,ALĪNA,ALLA,ALMA,ALVĪNE,AĻONA,AMANDA,AMĒLIJA,ANASTASIJA,ANCE,ANDA,ANDRA,ANETE,ANGELINA,ANITA,ANNA,ANNIJA,ANNIKA,ANTONIJA,ANTOŅINA,ANTRA,ANŽELA,ANŽELIKA,ARINA,ARITA,ARTA,ASTRA,ASTRĪDA,AUSMA,AUSTRA,ĀRIJA,BAIBA,BEATRISE,BEĀTE,BENITA,BERTA,BIRUTA,BRIGITA,BRONISLAVA,BROŅISLAVA,DACE,DAIGA,DAINA,DANA,DANIELA,DARINA,DARJA,DĀRTA,DIANA,DIĀNA,DINA,DITA,DZIDRA,DZINTRA,EDĪTE,EGIJA,EGITA,ELEONORA,ELFRĪDA,ELGA,ELITA,ELIZABETE,ELĪNA,ELĪZA,ELLA,ELVĪRA,ELZA,EMĪLIJA,EMMA,ENIJA,ERNA,ESTERE,EVA,EVELĪNA,EVIJA,EVITA,ĒRIKA,FEODOSIJA,FRANCISKA,GABRIELA,GAIDA,GAĻINA,GENOVEFA,GINTA,GITA,GUNA,GUNDEGA,GUNITA,GUNTA,HANNA,HELENA,HELĒNA,HERMĪNE,HERTA,HILDA,IEVA,ILGA,ILONA,ILUTA,ILVA,ILZE,INA,INĀRA,INDRA,INESE,INETA,INGA,INGRĪDA,INGUNA,INGŪNA,INITA,INNA,INTA,IRĒNA,IRINA,IRĪNA,IRMA,IVETA,JADVIGA,JANA,JANĪNA,JASMĪNA,JEFROSINIJA,JEKATERINA,JEKATERĪNA,JELIZAVETA,JEĻENA,JEĻIZAVETA,JEVDOKIJA,JEVGENIJA,JEVGEŅIJA,JOLANTA,JUDĪTE,JUSTĪNE,JUZEFA,JŪLIJA,KARINA,KARĪNA,KARLĪNA,KAROLINA,KAROLĪNA,KATE,KATRĪNA,KEITA,KIRA,KITIJA,KRISTA,KRISTIĀNA,KRISTINA,KRISTĪNA,KRISTĪNE,KSENIJA,LAILA,LAIMA,LARISA,LAUMA,LAURA,LĀSMA,LELDE,LEONORA,LEONTĪNA,LEONTĪNE,LETĪCIJA,LIĀNA,LIDIJA,LIENE,LIGITA,LIJA,LILIJA,LILITA,LINDA,LĪGA,LĪNA,LĪVA,LĪVIJA,LOLITA,LONIJA,LORETA,LOTE,LUCIJA,LUDMILA,LUĪZE,LŪCIJA,ĻUBOVA,MADARA,MAIGA,MAIJA,MALVĪNE,MARFA,MARGARITA,MARIJA,MARIKA,MARINA,MARITA,MARTA,MARUTA,MATILDE,MĀRA,MĀRĪTE,MEGIJA,MELĀNIJA,MELISA,MILANA,MILDA,MIRDZA,MONIKA,MONTA,MUDĪTE,NADEŽDA,NATAĻJA,NATĀLIJA,NELLIJA,NIKA,NIKOLA,NORA,ŅINA,ODRIJA,OKSANA,OLGA,OLĪVIJA,OĻESJA,PATRĪCIJA,PAULA,PAULĪNA,POLINA,POĻINA,RAISA,RASMA,REBEKA,REGĪNA,RENĀTE,RĒZIJA,RITA,ROZĀLIJA,RUDĪTE,RUTA,RŪTA,SABĪNE,SAMANTA,SANDA,SANDRA,SANIJA,SANITA,SANTA,SARMĪTE,SĀRA,SIGITA,SIGNE,SILVIJA,SIMONA,SINDIJA,SINTIJA,SKAIDRĪTE,SOFIJA,SOFJA,SOLVITA,SPODRA,STAŅISLAVA,STEFĀNIJA,SVETLANA,ŠARLOTE,TAMĀRA,TATJANA,TEKLA,TĪNA,UNA,VAIRA,VALDA,VALENTINA,VALENTĪNA,VALERIJA,VALĒRIJA,VALIJA,VANDA,VANESA,VARVARA,VELGA,VELTA,VENERANDA,VERA,VERONIKA,VĒSMA,VIJA,VIKTORIJA,VILMA,VINETA,VITA,VIZMA,ZAIGA,ZANDA,ZANE,ZELMA,ZENTA,ZIGRĪDA,ZINAIDA,ZINAĪDA,ZOFIJA,ZOJA,ŽANNA
1970,null,null,null,null,null,null,null,null,57,null,94,56,24,null,74,null,null,null,null,null,null,null,null,35,null,null,80,null,null,null,null,58,82,null,null,18,53,null,null,null,null,51,62,59,null,null,null,null,null,null,null,null,55,null,null,null,null,null,null,null,null,6,16,60,null,null,null,null,null,null,23,76,null,null,86,79,null,98,null,null,null,38,null,null,null,null,null,null,null,null,null,null,null,88,null,48,90,null,null,null,null,null,68,null,77,61,91,null,44,43,null,null,null,null,null,null,32,null,9,81,70,5,42,37,63,8,29,4,50,66,83,47,46,40,39,11,null,null,7,null,49,null,null,null,null,null,null,1,null,null,null,null,34,null,null,null,64,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,26,null,25,null,null,93,null,null,null,null,null,null,null,75,72,null,null,100,41,17,null,null,null,78,null,null,null,null,22,null,null,null,null,null,65,null,null,null,99,87,21,97,null,null,null,85,52,null,null,null,null,null,null,null,null,null,71,12,15,null,null,null,null,null,null,33,13,null,null,null,null,null,null,null,null,null,null,null,null,null,45,null,null,95,null,null,null,null,10,null,14,27,28,null,67,89,null,null,null,null,null,null,null,30,null,null,null,2,null,null,3,null,null,96,null,null,null,54,null,null,null,null,null,null,null,null,null,null,null,null,69,73,null,31,36,null,null,84,92,null,null,null,null,null,null,null,20
1975,null,null,null,null,null,null,null,null,70,27,null,51,32,null,93,null,null,null,null,null,null,null,null,48,null,null,46,null,null,null,null,62,99,null,null,26,30,null,null,null,null,75,89,92,null,null,null,null,null,null,null,null,23,null,null,null,null,null,null,null,null,10,38,58,null,null,null,null,null,null,24,78,null,null,null,71,null,94,null,null,null,97,null,73,null,null,null,null,null,null,null,null,null,66,null,29,22,null,null,null,null,null,82,null,83,60,null,80,40,50,null,null,null,null,null,null,16,null,12,87,96,8,56,64,88,4,47,2,68,null,null,81,55,53,59,13,91,null,5,null,41,null,null,null,54,null,null,1,null,null,null,null,33,null,null,null,19,69,77,null,null,null,null,null,null,null,null,null,null,null,76,3,null,74,null,44,null,79,84,null,null,null,null,null,null,null,28,85,null,null,null,43,15,null,null,null,86,null,null,null,null,25,null,null,90,null,null,61,null,null,null,72,65,20,null,null,null,null,null,57,null,null,null,null,null,null,null,null,null,39,11,14,null,null,null,null,null,null,17,9,null,null,null,null,null,null,null,null,null,null,null,null,null,49,null,null,null,null,null,null,null,21,null,18,34,45,null,67,null,null,null,null,null,null,null,null,36,null,null,null,6,null,null,7,null,null,null,null,null,null,63,null,null,null,null,null,null,null,null,null,100,null,null,98,42,null,35,37,null,null,95,52,null,null,null,null,null,null,null,31
1980,null,null,null,null,null,null,null,null,76,17,null,70,35,null,null,null,null,67,null,null,null,null,95,53,null,null,41,null,null,74,null,64,null,null,null,36,26,null,null,null,null,96,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,null,null,null,11,58,78,56,null,null,null,null,null,21,80,null,null,null,85,null,98,null,null,null,null,null,32,null,null,null,null,null,null,null,null,null,61,null,33,29,null,null,null,null,null,88,null,94,48,87,90,55,65,null,null,null,null,null,null,14,null,24,null,null,7,71,null,68,4,57,3,null,null,null,84,62,63,82,13,null,null,18,null,40,null,null,null,28,89,null,2,null,null,null,null,42,null,null,null,10,43,39,null,null,null,null,null,null,null,null,null,null,97,44,1,null,null,null,77,null,27,91,null,null,null,null,null,null,null,25,100,null,null,null,23,12,null,null,null,null,null,null,null,null,34,null,null,83,null,null,50,null,null,73,51,66,16,93,null,null,null,null,75,null,null,null,null,null,null,null,null,null,38,8,15,null,null,null,null,null,null,19,5,null,60,null,null,null,null,null,null,null,null,null,99,null,49,null,null,null,null,null,null,92,37,null,22,46,72,null,69,null,null,null,null,47,null,null,null,54,null,null,null,9,null,null,6,null,null,null,null,null,null,79,null,null,null,null,null,null,null,null,null,null,86,null,null,31,null,59,45,null,null,81,30,null,null,null,null,null,null,null,52
1985,null,null,null,null,null,null,null,null,86,19,null,67,34,null,null,null,null,39,null,null,93,null,68,79,null,null,37,null,null,28,null,58,null,59,null,45,9,null,null,null,null,99,null,null,null,97,null,null,null,null,null,null,23,null,null,null,null,null,null,null,null,24,60,90,52,null,null,92,null,96,16,81,null,null,null,null,null,null,null,null,null,null,null,11,null,null,null,null,null,null,null,null,null,63,null,43,33,null,null,null,null,null,null,null,82,56,70,null,57,77,null,null,null,null,null,null,17,null,36,null,null,8,91,null,71,20,95,5,null,null,null,null,64,85,null,13,null,null,40,null,41,null,null,null,12,78,null,3,null,null,null,null,55,null,null,null,4,47,32,null,null,null,null,null,null,null,null,null,null,75,38,1,84,null,null,null,null,26,49,69,null,null,null,null,null,null,18,null,null,null,null,10,6,null,62,null,null,null,null,null,null,50,null,null,88,48,null,54,null,null,65,35,null,22,null,89,null,null,null,94,null,null,null,null,null,null,null,null,null,42,21,27,null,null,null,null,null,null,31,2,null,66,null,null,null,null,null,null,null,null,null,100,null,53,null,null,null,null,null,null,98,44,null,29,30,null,null,72,83,null,null,null,46,null,null,null,61,null,null,null,15,null,null,7,null,null,null,null,null,null,87,null,null,null,null,null,null,null,null,null,null,74,null,null,25,null,73,51,null,null,76,14,null,null,null,null,null,null,null,80
1990,null,null,null,null,null,null,null,null,80,20,null,83,52,null,null,null,null,27,74,95,50,null,37,null,null,null,46,null,null,11,null,85,null,31,null,59,6,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,23,null,null,null,null,null,null,null,null,32,89,null,60,null,null,57,null,null,12,null,87,null,null,null,94,null,null,null,null,null,null,2,null,null,null,null,null,null,null,null,null,69,null,34,42,null,null,null,null,null,null,null,97,76,90,null,null,null,null,null,null,null,null,null,3,null,44,null,null,21,null,null,null,29,null,22,null,null,null,null,98,null,null,26,null,null,70,null,30,null,null,null,13,88,null,18,null,null,null,null,65,null,99,null,5,45,25,null,null,null,null,62,null,null,73,49,91,71,33,1,68,92,81,null,86,7,41,54,null,null,null,null,null,null,19,null,null,null,null,17,4,null,43,null,null,null,null,null,null,78,null,null,null,8,null,56,null,null,64,28,null,38,null,51,null,null,75,null,null,null,null,null,null,null,null,40,null,63,39,55,null,null,null,null,null,null,53,15,null,null,null,null,null,null,null,null,null,null,null,82,null,67,null,null,null,72,48,null,96,35,null,47,9,null,null,79,66,null,null,null,16,null,null,null,93,null,null,null,36,null,null,24,null,null,null,null,null,null,null,null,84,null,null,null,null,null,null,null,null,61,null,null,10,null,null,58,null,null,77,14,null,null,null,null,null,null,null,null
1995,null,null,null,null,null,null,null,null,93,16,null,94,82,null,null,null,null,25,92,null,19,null,30,null,null,null,78,45,null,5,null,89,null,21,null,77,3,33,null,null,null,null,null,96,null,null,71,null,null,null,null,null,37,null,75,null,null,null,null,null,null,59,null,null,44,null,null,47,null,null,6,null,95,null,null,null,null,null,null,null,null,null,62,4,70,null,null,88,null,null,null,null,null,56,72,49,41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,null,81,null,null,28,null,null,null,55,null,42,null,null,null,null,null,null,null,67,null,null,null,null,29,null,null,null,17,null,null,52,97,null,null,null,63,null,91,null,13,60,20,null,null,null,null,23,null,null,46,31,32,null,83,2,50,null,87,null,65,1,39,53,null,null,null,null,84,null,27,null,null,null,null,8,14,null,43,null,null,null,null,null,null,null,null,null,null,12,null,73,null,null,66,18,null,69,null,24,null,null,null,null,100,null,null,null,null,null,null,34,null,76,null,74,null,null,null,null,null,null,90,40,null,null,null,35,null,null,null,null,null,null,null,51,null,86,null,null,null,68,22,58,99,38,null,57,10,null,null,79,61,null,54,64,9,null,null,null,null,null,null,null,80,null,null,48,null,null,98,null,null,null,null,null,26,null,null,null,null,null,null,null,null,36,null,null,7,null,null,85,null,null,null,15,null,null,null,null,null,null,null,null
2000,null,null,null,null,null,null,null,96,null,27,null,null,null,null,null,null,null,18,null,99,11,null,39,null,null,null,85,12,null,1,67,null,null,35,null,null,4,31,null,null,null,null,null,86,64,null,75,null,null,null,null,null,87,null,53,null,null,null,null,null,null,null,null,null,46,33,null,30,100,93,5,null,null,null,null,null,null,null,null,null,null,null,13,6,36,null,null,56,57,null,null,null,66,55,41,68,54,47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,null,null,null,null,80,null,null,null,84,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,null,null,null,26,null,null,89,48,null,null,null,81,null,82,null,32,77,21,null,null,null,null,10,88,null,50,25,17,null,null,9,44,null,null,null,83,2,72,91,null,null,null,null,59,null,62,null,null,null,null,8,34,null,45,null,null,null,63,null,null,null,61,null,null,19,null,null,null,null,70,16,null,97,null,20,null,null,null,null,38,null,null,94,null,null,null,51,null,null,null,79,null,null,42,null,null,null,null,73,null,null,37,14,null,null,69,null,null,60,null,58,null,null,null,null,null,92,28,7,null,78,95,null,24,null,null,null,90,null,71,43,22,null,49,null,null,null,null,null,null,null,null,76,null,null,65,null,null,null,null,74,23,null,null,98,null,null,null,null,null,29,null,null,3,null,null,null,null,null,null,52,null,null,null,null,null,null,null,null
2005,null,null,81,null,null,null,null,82,null,49,null,null,null,null,null,null,86,23,89,67,5,null,44,null,null,null,null,13,null,1,48,null,null,40,96,null,3,27,null,null,null,null,null,91,46,null,null,null,null,null,null,null,null,78,59,null,null,null,null,null,null,null,null,null,66,14,null,19,77,null,18,null,null,null,null,null,null,null,null,null,null,null,10,12,29,null,null,56,26,null,80,null,31,62,6,84,88,75,null,null,73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45,null,null,null,42,null,null,null,53,null,null,null,null,null,65,null,43,94,38,95,null,null,57,9,50,null,54,37,32,null,null,25,20,null,null,null,98,4,99,null,null,null,null,null,74,null,79,null,null,null,null,21,60,null,33,null,null,null,55,null,null,null,51,null,null,24,null,null,null,null,83,15,null,null,null,7,null,null,null,null,36,92,null,47,null,null,null,72,null,null,null,null,null,null,17,null,null,null,null,97,null,null,22,11,null,93,63,null,null,71,null,76,87,null,null,null,null,69,41,8,null,null,34,null,52,null,null,null,null,null,90,58,39,null,16,null,null,null,null,null,null,null,null,100,null,61,85,null,null,null,null,64,30,null,null,70,null,null,null,null,null,28,null,null,2,null,null,null,null,null,null,68,null,null,null,null,null,null,null,null
2010,null,null,58,97,null,null,null,80,null,56,null,null,null,null,null,null,95,25,null,40,4,null,65,null,null,null,null,22,60,5,47,null,null,43,92,null,3,31,null,null,null,null,null,null,32,null,null,null,null,null,null,null,null,81,64,null,null,null,null,null,null,null,null,null,85,28,null,18,39,null,42,null,null,null,null,null,null,null,null,null,null,null,9,26,19,null,null,23,10,null,38,null,16,50,7,null,null,null,null,null,29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63,null,null,null,49,null,null,null,53,null,null,null,null,null,69,null,68,null,66,59,86,96,35,8,21,93,83,73,41,null,null,55,24,null,null,null,77,11,null,null,null,null,null,null,null,null,94,null,null,null,null,37,75,null,36,null,null,null,48,89,null,null,33,null,null,15,null,79,null,null,62,13,null,null,null,6,null,null,null,null,44,54,null,27,null,null,null,78,null,null,null,null,71,98,14,null,null,null,null,null,null,null,20,12,null,84,52,null,null,61,null,null,91,null,null,null,null,51,45,17,null,null,74,null,76,null,99,null,null,null,100,88,72,null,1,90,null,null,null,null,null,87,null,null,null,57,null,null,null,null,null,70,46,null,null,67,null,null,null,null,null,30,null,null,2,null,null,null,null,null,null,82,null,null,null,null,null,null,null,null
2015,62,81,64,null,83,null,null,73,null,68,null,null,null,null,null,null,97,35,null,39,4,null,65,null,null,null,null,27,20,12,47,null,null,49,98,null,5,38,91,null,null,null,null,null,30,null,null,null,null,null,null,null,null,null,53,null,null,null,null,null,null,null,null,null,null,70,94,25,15,null,54,null,null,null,null,null,null,null,null,null,null,null,7,31,22,null,null,10,2,72,29,null,16,42,11,null,null,null,null,null,13,null,null,null,null,null,null,null,null,null,95,null,null,null,null,null,40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,79,null,69,null,59,null,99,null,57,null,null,null,null,null,77,null,86,null,88,34,92,56,37,9,18,67,null,null,66,null,null,78,26,null,null,null,60,21,null,null,null,null,null,93,null,null,null,null,null,null,null,45,89,null,41,null,null,null,50,82,null,null,32,null,null,17,null,51,null,null,84,14,null,null,null,3,null,null,96,null,63,33,80,23,null,null,null,null,null,null,null,null,87,null,19,61,null,46,null,null,74,null,24,8,null,48,71,null,null,43,null,null,85,null,null,null,null,44,55,28,null,null,null,null,null,null,76,null,null,null,null,null,null,null,1,null,null,null,null,null,null,58,null,null,null,100,null,null,null,null,null,75,52,null,null,90,null,null,null,null,null,36,null,null,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
